,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,Target,Signal,Market_Pct_Change,Trade_Cost,Strategy_Returns,Market_Performance,Bot_Performance
2007-05-30,1.3448,1.3457,1.3408,1.3429,1.3485709815866054,-0.0042051784177748,43.27956989247299,3.129943957310914,-0.0023031203566122,0.0036488197185195,1,1,0.0017871770049890934,0.0001,0.0016871770049890933,1.016164362867286,1.0587033456109034
2007-05-31,1.3429,1.3474,1.3422,1.3453,1.3482594595307382,-0.0021950222635695,40.22662889518399,-3.0529409972890065,0.001861781352398,0.0038653088530438,0,0,-0.0003716643127926744,0.0001,-0.0001,1.0157866908376767,1.0585974752763423
2007-06-01,1.3452,1.3462,1.3392,1.3448,1.3479299871944774,-0.0023220695616335,35.522388059701456,-4.70424083548253,0.0004463621484898,0.0052052349791791,1,1,0.0030487804878047697,0.0001,0.00294878048780477,1.0188836014804743,1.0617190468558766
2007-06-04,1.3445,1.3498,1.3433,1.3489,1.348022369366432,0.0006510504970184,34.74320241691849,-0.7791856427829629,0.0028250687681212,0.0048187411965306,1,1,0.002594706798131785,0.0,0.002594706798131785,1.0215273056877407,1.0644738964844596
2007-06-05,1.3489,1.3551,1.3488,1.3524,1.3484392865696289,0.00293725751676,51.54639175257753,16.803189335659034,0.0056513979773944,0.0046583850931676,0,1,-0.0015527950310558758,0.0,-0.0015527950310558758,1.0199410831633808,1.0628209867073097
2007-06-06,1.3521,1.3537,1.3485,1.3503,1.3486164973725214,0.0012483182808148,51.54639175257753,0.0,0.0055104624320501,0.0038509960749462,0,1,-0.005184033177812464,0.0,-0.005184033177812464,1.014653674748848,1.0573112874501436
2007-06-07,1.3505,1.3512,1.3422,1.3433,1.348110164289424,-0.0035680795359624,39.193083573487,-12.353308179090526,-0.0014866572511706,0.0066999181121118,0,0,-0.004541055609320277,0.0001,-0.0001,1.0100460759876122,1.0572055563213987
2007-06-08,1.3433,1.3435,1.3321,1.3372,1.3470711010237646,-0.0073278248017218,36.95652173913042,-2.2365618343565785,-0.0056513979773944,0.0085252766975769,0,0,-0.001046963804965495,0.0,-0.0,1.0089885943047057,1.0572055563213987
2007-06-11,1.3366,1.3366,1.3333,1.3358,1.345997662831025,-0.0075762856895132,37.67313019390595,0.7166084547755247,-0.0097116168730075,0.0024704297050457,0,0,-0.0041922443479562865,0.0,-0.0,1.0047586675730793,1.0572055563213987
2007-06-12,1.3358,1.3368,1.3301,1.3302,1.3444931235137847,-0.0106308639767751,30.445544554455395,-7.227585639450552,-0.0164152617568766,0.0050368365659298,1,1,0.0006014133213050332,0.0001,0.0005014133213050332,1.0053629428204545,1.0577356532706959
2007-06-13,1.3301,1.3315,1.3264,1.331,1.3432080641315194,-0.0090887364791193,34.4736842105262,4.028139656070806,-0.0142931200473969,0.0038317054845979,1,1,0.00015026296018039176,0.0,0.00015026296018039176,1.0055140116322983,1.0578945917610447
2007-06-14,1.3312,1.3323,1.3279,1.3312,1.3420644389761367,-0.0080953184218376,32.33695652173883,-2.1367276887873743,-0.0090076676840616,0.0033052884615384,1,1,0.005709134615384581,0.0,0.005709134615384581,1.0112546264823625,1.0639342543942958
2007-06-15,1.3312,1.3389,1.3306,1.3388,1.3417535400260283,-0.0022012537607847,42.75862068965519,10.421664167916362,0.0011965300628178,0.0061995817149686,1,1,0.00201673140125469,0.0,0.00201673140125469,1.0132940554422536,1.0660799240140033
2007-06-18,1.3384,1.3417,1.3377,1.3415,1.341729393356883,-0.0001709684218135,46.40522875816983,3.646608068514638,0.0042671058541696,0.0029817368617219,1,1,0.0008945210585167285,0.0,0.0008945210585167285,1.0142004683133166,1.0670335549560956
2007-06-19,1.3414,1.3435,1.3383,1.3427,1.341821832084799,0.0006544594030316,49.77876106194692,3.373532303777097,0.0093970831453915,0.0038727936247857,0,0,-0.0017874432114396432,0.0001,-0.0001,1.012387642571191,1.0669268516006
2007-06-20,1.3427,1.3437,1.3396,1.3403,1.3416768956957703,-0.0010262498371908,44.46902654867267,-5.30973451327425,0.0069872276483846,0.003059016638066,0,0,-0.0011191524285608656,0.0,-0.0,1.0112546264823625,1.0669268516006
2007-06-21,1.3403,1.3408,1.3372,1.3388,1.3414029056295065,-0.0019404353595648,43.5064935064935,-0.9625330421791743,0.0057091346153845,0.0026889752016731,1,1,0.0061248879593664984,0.0001,0.006024887959366498,1.017448447767958,1.0733549663423334
2007-06-22,1.3389,1.347,1.3381,1.347,1.34193596223622,0.0037736806422126,48.11133200795227,4.604838501458772,0.0061248879593664,0.0066072754268744,0,0,-0.0005939123979212813,0.0001,-0.0001,1.0168441725205828,1.073247630845699
2007-06-25,1.3468,1.3473,1.3439,1.3462,1.3423420610708658,0.0028740356433862,43.48739495798319,-4.623937049969079,0.0035035408125234,0.0025256276927647,0,1,-0.0005942653394741537,0.0001,-0.0006942653394741538,1.0162398972732076,1.07250251221493
2007-06-26,1.3462,1.3477,1.3432,1.3454,1.3426332933498308,0.0020606569670756,44.708423326133776,1.2210283681505842,0.0020108736128694,0.0033447301917644,0,0,-7.43273375947151e-05,0.0001,-0.0001,1.0161643628672858,1.0723952619637087
2007-06-27,1.3452,1.3458,1.3416,1.3453,1.3428872654117516,0.0017966769440683,52.538071065989854,7.829647739856078,0.0037305080952025,0.0031219802274587,0,0,-0.00022299858767560465,0.0,-0.0,1.0159377596495203,1.0723952619637087
2007-06-28,1.3452,1.348,1.3423,1.345,1.34308847822968,0.0014232284777244,61.60714285714296,9.0690717911531,0.0046310128473259,0.0042379182156134,1,1,0.006765799256505556,0.0001,0.0066657992565055555,1.0228113905884129,1.0795436335035864
2007-06-29,1.3448,1.3542,1.3431,1.3541,1.344137194588758,0.0074120450288484,72.15496368038733,10.547820823244372,0.0052709725315516,0.0081973266376191,1,1,0.006129532530832371,0.0,0.006129532530832371,1.0290807462799305,1.0861607313235997
2007-07-02,1.3541,1.3638,1.3528,1.3624,1.3458765093898286,0.0122771223770467,86.59090909090907,14.43594541052174,0.0120338731243501,0.0080739870816205,0,0,-0.0011743981209630938,0.0001,-0.0001,1.02787219578518,1.0860521152504674
2007-07-03,1.3624,1.3634,1.3584,1.3608,1.347297794209845,0.0100216936806266,83.2589285714285,-3.3319805194805667,0.0114464099895943,0.0036743092298647,1,0,0.00029394473838917357,0.0,0.0,1.0281743334088675,1.0860521152504674
2007-07-04,1.3609,1.363,1.3605,1.3612,1.3486218138089074,0.0093266963816698,83.33333333333326,0.0744047619047592,0.0118189251468074,0.0018366147516896,0,0,-0.0010285042609462502,0.0,-0.0,1.027116851725961,1.0860521152504674
2007-07-05,1.3612,1.3658,1.3579,1.3598,1.3496864029699638,0.0074932940035413,77.06185567010286,-6.2714776632304,0.0110037174721189,0.0058096778938077,1,1,0.0021326665686132174,0.0001,0.0020326665686132175,1.0293073494976963,1.0882596970769087
2007-07-06,1.3597,1.3641,1.3568,1.3627,1.3509257931633003,0.008715657733597,77.17948717948707,0.1176315093842106,0.0063510818994165,0.0053570118147795,0,0,-7.33837234900836e-05,0.0001,-0.0001,1.0292318150917745,1.088150871107201
2007-07-09,1.363,1.3638,1.361,1.3626,1.3520376223858437,0.0078121920864287,76.25329815303415,-0.9261890264529172,0.0001467997651203,0.0020548950535739,1,1,0.008806693086745865,0.0001,0.008706693086745865,1.0382959438024022,1.0976250667740066
2007-07-10,1.3626,1.3747,1.3594,1.3746,1.3541864202538585,0.0150744236102402,86.10526315789448,9.851965004860332,0.0101410934744268,0.0111305106940201,0,0,-0.00014549687181719673,0.0001,-0.0001,1.0381448749905584,1.0975153042673291
2007-07-11,1.3747,1.3782,1.3731,1.3744,1.3561115230868244,0.0134859682274116,88.52813852813841,2.422875370243929,0.0096973258889216,0.0037107101280559,1,1,0.003201396973224746,0.0001,0.003101396973224746,1.041468388851122,1.1009191349100518
2007-07-12,1.3744,1.3797,1.374,1.3788,1.3582723304118889,0.0151130735188328,87.49999999999987,-1.0281385281385411,0.0139726430357407,0.0041340295909485,0,0,-0.0004351610095735259,0.0001,-0.0001,1.0410151824155907,1.1008090429965607
2007-07-13,1.3787,1.3811,1.3763,1.3782,1.3601702037059944,0.0132555442288624,87.91469194312778,0.4146919431279059,0.0113744771409702,0.0034828036569437,0,0,-0.000798142504716326,0.0,-0.0,1.0401843039504497,1.1008090429965607
2007-07-16,1.3781,1.3803,1.3759,1.3771,1.3617825652578044,0.0112480766995983,87.29411764705871,-0.6205742960690657,0.0106414208131513,0.0031951201800887,1,0,0.0007261636772928348,0.0,0.0,1.0409396480096686,1.1008090429965607
2007-07-17,1.3771,1.3797,1.3758,1.3781,1.363336606661823,0.010828868869241,87.78801843317963,0.4939007861209177,0.0025461952568019,0.0028299833103548,1,1,0.0015238371671142392,0.0001,0.0014238371671142392,1.0425258705340286,1.1023764158258746
